Cod_IBGE;Grande região;Município;Município;Mun_Total de casos;Mun_Total de óbitos;Estado;País
3500105;Interior;Adamantina, São Paulo, Brasil;Adamantina, São Paulo, Brasil;11627;190;São Paulo;Brasil
3500204;Interior;Adolfo;Adolfo, São Paulo, Brasil;1161;28;São Paulo;Brasil
3500303;Interior;Aguaí;Aguaí, São Paulo, Brasil;7507;139;São Paulo;Brasil
3500402;Interior;Águas da Prata;Águas da Prata, São Paulo, Brasil;2191;40;São Paulo;Brasil
3500501;Interior;Águas de Lindóia;Águas de Lindóia, São Paulo, Brasil;5661;67;São Paulo;Brasil
3500550;Interior;Águas de Santa Bárbara;Águas de Santa Bárbara, São Paulo, Brasil;623;25;São Paulo;Brasil
3500600;Interior;Águas de São Pedro;Águas de São Pedro, São Paulo, Brasil;478;17;São Paulo;Brasil
3500709;Interior;Agudos;Agudos, São Paulo, Brasil;9331;123;São Paulo;Brasil
3500758;Interior;Alambari;Alambari, São Paulo, Brasil;1670;13;São Paulo;Brasil
3500808;Interior;Alfredo Marcondes;Alfredo Marcondes, São Paulo, Brasil;320;23;São Paulo;Brasil
3500907;Interior;Altair;Altair, São Paulo, Brasil;325;18;São Paulo;Brasil
3501004;Interior;Altinópolis;Altinópolis, São Paulo, Brasil;1248;68;São Paulo;Brasil
3501103;Interior;Alto Alegre;Alto Alegre, São Paulo, Brasil;425;29;São Paulo;Brasil
3501152;Interior;Alumínio;Alumínio, São Paulo, Brasil;1750;56;São Paulo;Brasil
3501202;Interior;Álvares Florence;Álvares Florence, São Paulo, Brasil;652;19;São Paulo;Brasil
3501301;Interior;Álvares Machado;Álvares Machado, São Paulo, Brasil;4338;95;São Paulo;Brasil
3501400;Interior;Álvaro de Carvalho;Álvaro de Carvalho, São Paulo, Brasil;356;9;São Paulo;Brasil
3501509;Interior;Alvinlândia;Alvinlândia, São Paulo, Brasil;158;10;São Paulo;Brasil
3501608;Interior;Americana;Americana, São Paulo, Brasil;28358;1017;São Paulo;Brasil
3501707;Interior;Américo Brasiliense;Américo Brasiliense, São Paulo, Brasil;7708;114;São Paulo;Brasil
3501806;Interior;Américo de Campos;Américo de Campos, São Paulo, Brasil;1296;39;São Paulo;Brasil
3501905;Interior;Amparo;Amparo, São Paulo, Brasil;10655;265;São Paulo;Brasil
3502002;Interior;Analândia;Analândia, São Paulo, Brasil;749;6;São Paulo;Brasil
3502101;Interior;Andradina;Andradina, São Paulo, Brasil;15919;320;São Paulo;Brasil
3502200;Interior;Angatuba;Angatuba, São Paulo, Brasil;6096;95;São Paulo;Brasil
3502309;Interior;Anhembi;Anhembi, São Paulo, Brasil;460;16;São Paulo;Brasil
3502408;Interior;Anhumas;Anhumas, São Paulo, Brasil;409;10;São Paulo;Brasil
3502507;Interior;Aparecida;Aparecida, São Paulo, Brasil;3001;129;São Paulo;Brasil
3502606;Interior;Aparecida d'Oeste;Aparecida d'Oeste, São Paulo, Brasil;1808;28;São Paulo;Brasil
3502705;Interior;Apiaí;Apiaí, São Paulo, Brasil;1810;112;São Paulo;Brasil
3502754;Interior;Araçariguama;Araçariguama, São Paulo, Brasil;3254;78;São Paulo;Brasil
3502804;Interior;Araçatuba;Araçatuba, São Paulo, Brasil;48981;1028;São Paulo;Brasil
3502903;Interior;Araçoiaba da Serra;Araçoiaba da Serra, São Paulo, Brasil;3316;104;São Paulo;Brasil
3503000;Interior;Aramina;Aramina, São Paulo, Brasil;395;20;São Paulo;Brasil
3503109;Interior;Arandu;Arandu, São Paulo, Brasil;668;22;São Paulo;Brasil
3503158;Interior;Arapeí;Arapeí, São Paulo, Brasil;277;7;São Paulo;Brasil
3503208;Interior;Araraquara;Araraquara, São Paulo, Brasil;68030;670;São Paulo;Brasil
3503307;Interior;Araras;Araras, São Paulo, Brasil;20508;467;São Paulo;Brasil
3503356;Interior;Arco-Íris;Arco-Íris, São Paulo, Brasil;631;10;São Paulo;Brasil
3503406;Interior;Arealva;Arealva, São Paulo, Brasil;2209;31;São Paulo;Brasil
3503505;Interior;Areias;Areias, São Paulo, Brasil;400;6;São Paulo;Brasil
3503604;Interior;Areiópolis;Areiópolis, São Paulo, Brasil;2387;33;São Paulo;Brasil
3503703;Interior;Ariranha;Ariranha, São Paulo, Brasil;1043;38;São Paulo;Brasil
3503802;Interior;Artur Nogueira;Artur Nogueira, São Paulo, Brasil;9290;170;São Paulo;Brasil
3503901;RMSP (exceto capital);Arujá;Arujá, São Paulo, Brasil;12818;366;São Paulo;Brasil
3503950;Interior;Aspásia;Aspásia, São Paulo, Brasil;634;12;São Paulo;Brasil
3504008;Interior;Assis;Assis, São Paulo, Brasil;26663;483;São Paulo;Brasil
3504107;Interior;Atibaia;Atibaia, São Paulo, Brasil;13438;511;São Paulo;Brasil
3504206;Interior;Auriflama;Auriflama, São Paulo, Brasil;2558;90;São Paulo;Brasil
3504305;Interior;Avaí;Avaí, São Paulo, Brasil;837;14;São Paulo;Brasil
3504404;Interior;Avanhandava;Avanhandava, São Paulo, Brasil;1996;50;São Paulo;Brasil
3504503;Interior;Avaré;Avaré, São Paulo, Brasil;15791;334;São Paulo;Brasil
3504602;Interior;Bady Bassitt;Bady Bassitt, São Paulo, Brasil;4596;104;São Paulo;Brasil
3504701;Interior;Balbinos;Balbinos, São Paulo, Brasil;820;4;São Paulo;Brasil
3504800;Interior;Bálsamo;Bálsamo, São Paulo, Brasil;3161;78;São Paulo;Brasil
3504909;Interior;Bananal;Bananal, São Paulo, Brasil;1169;11;São Paulo;Brasil
3505005;Interior;Barão de Antonina;Barão de Antonina, São Paulo, Brasil;1049;11;São Paulo;Brasil
3505104;Interior;Barbosa;Barbosa, São Paulo, Brasil;992;25;São Paulo;Brasil
3505203;Interior;Bariri;Bariri, São Paulo, Brasil;8026;160;São Paulo;Brasil
3505302;Interior;Barra Bonita;Barra Bonita, São Paulo, Brasil;5657;130;São Paulo;Brasil
3505351;Interior;Barra do Chapéu;Barra do Chapéu, São Paulo, Brasil;469;16;São Paulo;Brasil
3505401;Interior;Barra do Turvo;Barra do Turvo, São Paulo, Brasil;915;27;São Paulo;Brasil
3505500;Interior;Barretos;Barretos, São Paulo, Brasil;32230;651;São Paulo;Brasil
