Data;Data;Casos;Casos_por_dia;Obitos_por_dia;;;
26/02/2020;2020-2-26;1;1;0;;;"INSERT INTO dados_estado_sp VALUES('2020-2-26', 1, 1, 0);"
27/02/2020;2020-2-27;0;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-2-27', 0, 0, 0);"
28/02/2020;2020-2-28;0;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-2-28', 0, 0, 0);"
29/02/2020;2020-2-29;2;1;0;;;"INSERT INTO dados_estado_sp VALUES('2020-2-29', 2, 1, 0);"
01/03/2020;2020-3-1;0;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-1', 0, 0, 0);"
02/03/2020;2020-3-2;0;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-2', 0, 0, 0);"
03/03/2020;2020-3-3;0;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-3', 0, 0, 0);"
04/03/2020;2020-3-4;3;1;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-4', 3, 1, 0);"
05/03/2020;2020-3-5;6;3;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-5', 6, 3, 0);"
06/03/2020;2020-3-6;10;4;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-6', 10, 4, 0);"
07/03/2020;2020-3-7;13;3;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-7', 13, 3, 0);"
08/03/2020;2020-3-8;16;3;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-8', 16, 3, 0);"
09/03/2020;2020-3-9;16;0;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-9', 16, 0, 0);"
10/03/2020;2020-3-10;19;3;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-10', 19, 3, 0);"
11/03/2020;2020-3-11;30;11;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-11', 30, 11, 0);"
12/03/2020;2020-3-12;46;16;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-12', 46, 16, 0);"
13/03/2020;2020-3-13;56;10;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-13', 56, 10, 0);"
14/03/2020;2020-3-14;65;9;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-14', 65, 9, 0);"
15/03/2020;2020-3-15;136;71;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-15', 136, 71, 0);"
16/03/2020;2020-3-16;152;16;0;;;"INSERT INTO dados_estado_sp VALUES('2020-3-16', 152, 16, 0);"
17/03/2020;2020-3-17;164;12;1;;;"INSERT INTO dados_estado_sp VALUES('2020-3-17', 164, 12, 1);"
18/03/2020;2020-3-18;240;76;3;;;"INSERT INTO dados_estado_sp VALUES('2020-3-18', 240, 76, 3);"
19/03/2020;2020-3-19;286;46;1;;;"INSERT INTO dados_estado_sp VALUES('2020-3-19', 286, 46, 1);"
20/03/2020;2020-3-20;396;110;4;;;"INSERT INTO dados_estado_sp VALUES('2020-3-20', 396, 110, 4);"
21/03/2020;2020-3-21;459;63;6;;;"INSERT INTO dados_estado_sp VALUES('2020-3-21', 459, 63, 6);"
22/03/2020;2020-3-22;631;172;7;;;"INSERT INTO dados_estado_sp VALUES('2020-3-22', 631, 172, 7);"
23/03/2020;2020-3-23;745;114;8;;;"INSERT INTO dados_estado_sp VALUES('2020-3-23', 745, 114, 8);"
24/03/2020;2020-3-24;810;65;10;;;"INSERT INTO dados_estado_sp VALUES('2020-3-24', 810, 65, 10);"
25/03/2020;2020-3-25;862;52;8;;;"INSERT INTO dados_estado_sp VALUES('2020-3-25', 862, 52, 8);"
26/03/2020;2020-3-26;1052;190;10;;;"INSERT INTO dados_estado_sp VALUES('2020-3-26', 1052, 190, 10);"
27/03/2020;2020-3-27;1223;171;10;;;"INSERT INTO dados_estado_sp VALUES('2020-3-27', 1223, 171, 10);"
28/03/2020;2020-3-28;1406;183;16;;;"INSERT INTO dados_estado_sp VALUES('2020-3-28', 1406, 183, 16);"
29/03/2020;2020-3-29;1451;45;14;;;"INSERT INTO dados_estado_sp VALUES('2020-3-29', 1451, 45, 14);"
30/03/2020;2020-3-30;1517;66;15;;;"INSERT INTO dados_estado_sp VALUES('2020-3-30', 1517, 66, 15);"
31/03/2020;2020-3-31;2339;822;23;;;"INSERT INTO dados_estado_sp VALUES('2020-3-31', 2339, 822, 23);"
01/04/2020;2020-4-1;2981;642;28;;;"INSERT INTO dados_estado_sp VALUES('2020-4-1', 2981, 642, 28);"
02/04/2020;2020-4-2;3506;525;44;;;"INSERT INTO dados_estado_sp VALUES('2020-4-2', 3506, 525, 44);"
03/04/2020;2020-4-3;4048;542;11;;;"INSERT INTO dados_estado_sp VALUES('2020-4-3', 4048, 542, 11);"
04/04/2020;2020-4-4;4466;418;41;;;"INSERT INTO dados_estado_sp VALUES('2020-4-4', 4466, 418, 41);"
05/04/2020;2020-4-5;4620;154;15;;;"INSERT INTO dados_estado_sp VALUES('2020-4-5', 4620, 154, 15);"
06/04/2020;2020-4-6;4861;241;29;;;"INSERT INTO dados_estado_sp VALUES('2020-4-6', 4861, 241, 29);"
07/04/2020;2020-4-7;5682;821;67;;;"INSERT INTO dados_estado_sp VALUES('2020-4-7', 5682, 821, 67);"
08/04/2020;2020-4-8;6708;1026;57;;;"INSERT INTO dados_estado_sp VALUES('2020-4-8', 6708, 1026, 57);"
09/04/2020;2020-4-9;7480;772;68;;;"INSERT INTO dados_estado_sp VALUES('2020-4-9', 7480, 772, 68);"
10/04/2020;2020-4-10;8216;736;44;;;"INSERT INTO dados_estado_sp VALUES('2020-4-10', 8216, 736, 44);"
11/04/2020;2020-4-11;8419;203;20;;;"INSERT INTO dados_estado_sp VALUES('2020-4-11', 8419, 203, 20);"
12/04/2020;2020-4-12;8755;336;28;;;"INSERT INTO dados_estado_sp VALUES('2020-4-12', 8755, 336, 28);"
13/04/2020;2020-4-13;8895;140;20;;;"INSERT INTO dados_estado_sp VALUES('2020-4-13', 8895, 140, 20);"
14/04/2020;2020-4-14;9371;476;87;;;"INSERT INTO dados_estado_sp VALUES('2020-4-14', 9371, 476, 87);"
15/04/2020;2020-4-15;11043;1672;83;;;"INSERT INTO dados_estado_sp VALUES('2020-4-15', 11043, 1672, 83);"
16/04/2020;2020-4-16;11568;525;75;;;"INSERT INTO dados_estado_sp VALUES('2020-4-16', 11568, 525, 75);"
17/04/2020;2020-4-17;12841;1273;75;;;"INSERT INTO dados_estado_sp VALUES('2020-4-17', 12841, 1273, 75);"
18/04/2020;2020-4-18;13894;1053;63;;;"INSERT INTO dados_estado_sp VALUES('2020-4-18', 13894, 1053, 63);"
19/04/2020;2020-4-19;14267;373;24;;;"INSERT INTO dados_estado_sp VALUES('2020-4-19', 14267, 373, 24);"
20/04/2020;2020-4-20;14580;313;22;;;"INSERT INTO dados_estado_sp VALUES('2020-4-20', 14580, 313, 22);"
21/04/2020;2020-4-21;15385;805;56;;;"INSERT INTO dados_estado_sp VALUES('2020-4-21', 15385, 805, 56);"
22/04/2020;2020-4-22;15914;529;41;;;"INSERT INTO dados_estado_sp VALUES('2020-4-22', 15914, 529, 41);"
23/04/2020;2020-4-23;16740;826;211;;;"INSERT INTO dados_estado_sp VALUES('2020-4-23', 16740, 826, 211);"
24/04/2020;2020-4-24;17826;1086;167;;;"INSERT INTO dados_estado_sp VALUES('2020-4-24', 17826, 1086, 167);"
25/04/2020;2020-4-25;20004;2178;155;;;"INSERT INTO dados_estado_sp VALUES('2020-4-25', 20004, 2178, 155);"
26/04/2020;2020-4-26;20715;711;33;;;"INSERT INTO dados_estado_sp VALUES('2020-4-26', 20715, 711, 33);"
27/04/2020;2020-4-27;21696;981;125;;;"INSERT INTO dados_estado_sp VALUES('2020-4-27', 21696, 981, 125);"
28/04/2020;2020-4-28;24041;2345;224;;;"INSERT INTO dados_estado_sp VALUES('2020-4-28', 24041, 2345, 224);"
29/04/2020;2020-4-29;26158;2117;198;;;"INSERT INTO dados_estado_sp VALUES('2020-4-29', 26158, 2117, 198);"
30/04/2020;2020-4-30;28698;2540;128;;;"INSERT INTO dados_estado_sp VALUES('2020-4-30', 28698, 2540, 128);"
01/05/2020;2020-5-1;30374;1676;136;;;"INSERT INTO dados_estado_sp VALUES('2020-5-1', 30374, 1676, 136);"
02/05/2020;2020-5-2;31174;800;75;;;"INSERT INTO dados_estado_sp VALUES('2020-5-2', 31174, 800, 75);"
03/05/2020;2020-5-3;31772;598;41;;;"INSERT INTO dados_estado_sp VALUES('2020-5-3', 31772, 598, 41);"
04/05/2020;2020-5-4;32187;415;27;;;"INSERT INTO dados_estado_sp VALUES('2020-5-4', 32187, 415, 27);"
05/05/2020;2020-5-5;34053;1866;197;;;"INSERT INTO dados_estado_sp VALUES('2020-5-5', 34053, 1866, 197);"
06/05/2020;2020-5-6;37853;3800;194;;;"INSERT INTO dados_estado_sp VALUES('2020-5-6', 37853, 3800, 194);"
07/05/2020;2020-5-7;39928;2075;161;;;"INSERT INTO dados_estado_sp VALUES('2020-5-7', 39928, 2075, 161);"
08/05/2020;2020-5-8;41830;1902;210;;;"INSERT INTO dados_estado_sp VALUES('2020-5-8', 41830, 1902, 210);"
09/05/2020;2020-5-9;44411;2581;192;;;"INSERT INTO dados_estado_sp VALUES('2020-5-9', 44411, 2581, 192);"
10/05/2020;2020-5-10;45444;1033;101;;;"INSERT INTO dados_estado_sp VALUES('2020-5-10', 45444, 1033, 101);"
11/05/2020;2020-5-11;46131;687;34;;;"INSERT INTO dados_estado_sp VALUES('2020-5-11', 46131, 687, 34);"
12/05/2020;2020-5-12;47719;1588;206;;;"INSERT INTO dados_estado_sp VALUES('2020-5-12', 47719, 1588, 206);"
13/05/2020;2020-5-13;51097;3378;169;;;"INSERT INTO dados_estado_sp VALUES('2020-5-13', 51097, 3378, 169);"
14/05/2020;2020-5-14;54286;3189;197;;;"INSERT INTO dados_estado_sp VALUES('2020-5-14', 54286, 3189, 197);"
