data;nome_drs;ocupacao_leitos;pacientes_uti_ultimo_dia;total_covid_uti_ultimo_dia;ocupacao_leitos_ultimo_dia;internacoes_ultimo_dia;pacientes_enf_ultimo_dia;total_covid_enf_ultimo_dia;;;Comando para o HeideSQL
08/10/2020;DRS 01 Grande São Paulo;42.17;2011;4798;41.91;658;2555;7010;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 01 Grande São Paulo', 42.17, 2011, 4798, 41.91, 658, 2555, 7010);"
08/10/2020;DRS 02 Araçatuba;49.52;59;120;49.17;22;99;302;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 02 Araçatuba', 49.52, 59, 120, 49.17, 22, 99, 302);"
08/10/2020;DRS 03 Araraquara;36.61;49;123;39.84;39;141;408;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 03 Araraquara', 36.61, 49, 123, 39.84, 39, 141, 408);"
08/10/2020;DRS 04 Baixada Santista;26.43;110;412;26.7;31;180;691;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 04 Baixada Santista', 26.43, 110, 412, 26.7, 31, 180, 691);"
08/10/2020;DRS 05 Barretos;60.49;58;91;63.74;27;49;248;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 05 Barretos', 60.49, 58, 91, 63.74, 27, 49, 248);"
08/10/2020;DRS 06 Bauru;65.29;156;231;67.53;53;211;536;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 06 Bauru', 65.29, 156, 231, 67.53, 53, 211, 536);"
08/10/2020;DRS 07 Campinas;38.62;274;670;40.9;86;347;1187;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 07 Campinas', 38.62, 274, 670, 40.9, 86, 347, 1187);"
08/10/2020;DRS 08 Franca;55.45;56;110;50.91;17;55;212;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 08 Franca', 55.45, 56, 110, 50.91, 17, 55, 212);"
08/10/2020;DRS 09 Marília;41.16;63;160;39.38;36;96;449;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 09 Marília', 41.16, 63, 160, 39.38, 36, 96, 449);"
08/10/2020;DRS 10 Piracicaba;36.7;79;245;32.24;24;90;392;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 10 Piracicaba', 36.7, 79, 245, 32.24, 24, 90, 392);"
08/10/2020;DRS 11 Presidente Prudente;63.84;50;77;64.94;27;122;197;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 11 Presidente Prudente', 63.84, 50, 77, 64.94, 27, 122, 197);"
08/10/2020;DRS 12 Registro;28.95;11;39;28.21;5;16;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 12 Registro', 28.95, 11, 39, 28.21, 5, 16, 55);"
08/10/2020;DRS 13 Ribeirão Preto;54.86;152;307;49.51;65;259;504;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 13 Ribeirão Preto', 54.86, 152, 307, 49.51, 65, 259, 504);"
08/10/2020;DRS 14 São João da Boa Vista;44.45;53;126;42.06;22;122;424;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 14 São João da Boa Vista', 44.45, 53, 126, 42.06, 22, 122, 424);"
08/10/2020;DRS 15 São José do Rio Preto;59.8;255;444;57.43;120;332;615;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 15 São José do Rio Preto', 59.8, 255, 444, 57.43, 120, 332, 615);"
08/10/2020;DRS 16 Sorocaba;47.03;111;236;47.03;36;149;628;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 16 Sorocaba', 47.03, 111, 236, 47.03, 36, 149, 628);"
08/10/2020;DRS 17 Taubaté;36.1;155;435;35.63;56;168;891;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'DRS 17 Taubaté', 36.1, 155, 435, 35.63, 56, 168, 891);"
08/10/2020;Estado de São Paulo;43.3;3702;8624;42.93;1324;4991;14749;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-8', 'Estado de São Paulo', 43.3, 3702, 8624, 42.93, 1324, 4991, 14749);"
09/10/2020;DRS 01 Grande São Paulo;42.04;1982;4809;41.21;635;2532;6872;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 01 Grande São Paulo', 42.04, 1982, 4809, 41.21, 635, 2532, 6872);"
09/10/2020;DRS 02 Araçatuba;49.28;63;125;50.4;16;96;302;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 02 Araçatuba', 49.28, 63, 125, 50.4, 16, 96, 302);"
09/10/2020;DRS 03 Araraquara;36.66;46;123;37.4;37;136;391;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 03 Araraquara', 36.66, 46, 123, 37.4, 37, 136, 391);"
09/10/2020;DRS 04 Baixada Santista;25.95;105;430;24.42;29;183;693;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 04 Baixada Santista', 25.95, 105, 430, 24.42, 29, 183, 693);"
09/10/2020;DRS 05 Barretos;61.31;57;91;62.64;19;48;225;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 05 Barretos', 61.31, 57, 91, 62.64, 19, 48, 225);"
09/10/2020;DRS 06 Bauru;66.16;157;230;68.26;55;211;535;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 06 Bauru', 66.16, 157, 230, 68.26, 55, 211, 535);"
09/10/2020;DRS 07 Campinas;38.95;258;662;38.97;75;350;1207;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 07 Campinas', 38.95, 258, 662, 38.97, 75, 350, 1207);"
09/10/2020;DRS 08 Franca;54.15;52;110;47.27;19;71;223;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 08 Franca', 54.15, 52, 110, 47.27, 19, 71, 223);"
09/10/2020;DRS 09 Marília;41.25;62;160;38.75;39;94;449;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 09 Marília', 41.25, 62, 160, 38.75, 39, 94, 449);"
09/10/2020;DRS 10 Piracicaba;35.86;83;243;34.16;28;98;396;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 10 Piracicaba', 35.86, 83, 243, 34.16, 28, 98, 396);"
09/10/2020;DRS 11 Presidente Prudente;62.75;47;79;59.49;27;126;203;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 11 Presidente Prudente', 62.75, 47, 79, 59.49, 27, 126, 203);"
09/10/2020;DRS 12 Registro;28.95;14;39;35.9;4;13;55;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 12 Registro', 28.95, 14, 39, 35.9, 4, 13, 55);"
09/10/2020;DRS 13 Ribeirão Preto;53.59;149;308;48.38;77;262;503;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 13 Ribeirão Preto', 53.59, 149, 308, 48.38, 77, 262, 503);"
09/10/2020;DRS 14 São João da Boa Vista;44.23;52;127;40.94;19;124;422;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 14 São João da Boa Vista', 44.23, 52, 127, 40.94, 19, 124, 422);"
09/10/2020;DRS 15 São José do Rio Preto;59.62;264;443;59.59;113;333;615;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 15 São José do Rio Preto', 59.62, 264, 443, 59.59, 113, 333, 615);"
09/10/2020;DRS 16 Sorocaba;46.82;108;227;47.58;45;162;638;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 16 Sorocaba', 46.82, 108, 227, 47.58, 45, 162, 638);"
09/10/2020;DRS 17 Taubaté;35.12;138;437;31.58;47;181;865;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'DRS 17 Taubaté', 35.12, 138, 437, 31.58, 47, 181, 865);"
09/10/2020;Estado de São Paulo;43.11;3637;8643;42.08;1284;5020;14594;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-9', 'Estado de São Paulo', 43.11, 3637, 8643, 42.08, 1284, 5020, 14594);"
10/10/2020;DRS 01 Grande São Paulo;42.01;1967;4749;41.42;617;2420;6858;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 01 Grande São Paulo', 42.01, 1967, 4749, 41.42, 617, 2420, 6858);"
10/10/2020;DRS 02 Araçatuba;50.12;66;119;55.46;27;96;302;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 02 Araçatuba', 50.12, 66, 119, 55.46, 27, 96, 302);"
10/10/2020;DRS 03 Araraquara;36.7;44;123;35.77;41;144;380;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 03 Araraquara', 36.7, 44, 123, 35.77, 41, 144, 380);"
10/10/2020;DRS 04 Baixada Santista;25.78;112;412;27.18;21;154;685;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 04 Baixada Santista', 25.78, 112, 412, 27.18, 21, 154, 685);"
10/10/2020;DRS 05 Barretos;62.29;60;91;65.93;19;46;245;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 05 Barretos', 62.29, 60, 91, 65.93, 19, 46, 245);"
10/10/2020;DRS 06 Bauru;66.81;155;227;68.28;51;216;542;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 06 Bauru', 66.81, 155, 227, 68.28, 51, 216, 542);"
10/10/2020;DRS 07 Campinas;39.39;255;659;38.69;72;340;1181;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 07 Campinas', 39.39, 255, 659, 38.69, 72, 340, 1181);"
10/10/2020;DRS 08 Franca;52.08;49;110;44.55;20;65;220;;;"INSERT INTO leitos_e_internacoes VALUES('2020-10-10', 'DRS 08 Franca', 52.08, 49, 110, 44.55, 20, 65, 220);"
